real12,pred12,real3,pred3
96.585,94.950554,79.078,94.46202
95.642,94.966995,85.079,94.49092
98.351,95.17661,84.255,93.93193
97.186,95.20413,97.716,94.25142
91.57,95.24739,93.281,93.74322
92.132,94.95058,102.762,94.106964
94.999,94.83636,95.721,94.05552
89.841,94.58665,93.141,94.08846
91.152,94.79663,95.591,93.883736
91.824,94.756226,96.585,94.11838
102.746,94.70664,95.642,94.22887
96.53,94.84406,98.351,94.35056
92.542,95.03669,97.186,94.437675
89.396,95.15451,91.57,94.54863
91.802,95.339455,92.132,94.72863
93.077,95.35766,94.999,94.700356
94.733,95.14197,89.841,94.61017
102.257,95.19225,91.152,94.37567
93.356,95.15409,91.824,94.17055
95.845,95.10817,102.746,94.12216
93.484,95.21135,96.53,94.16412
90.433,95.15312,92.542,94.004105
100.859,95.167496,89.396,94.20211
97.249,95.21016,91.802,94.295425
95.015,95.00222,93.077,93.93836
91.913,95.14662,94.733,93.798256
88.441,95.37991,102.257,93.835754
100.404,95.49,93.356,94.00245
98.441,95.48595,95.845,94.11765
94.262,95.266136,93.484,94.516235
98.223,95.12049,90.433,94.66514
98.002,94.54026,100.859,94.95683
92.413,93.98827,97.249,95.0775
96.274,93.67356,95.015,95.03806
88.4,93.324425,91.913,95.56593
91.19,93.401695,88.441,95.84923
97.596,93.420044,100.404,95.776115
109.924,93.58484,98.441,95.21716
97.317,93.562,94.262,94.732445
103.694,93.92388,98.223,95.071754
90.519,94.539665,98.002,95.329124
100.255,94.89042,92.413,95.065956
84.694,95.140625,96.274,94.98932
100.21,95.477615,88.4,94.85104
82.127,95.43152,91.19,94.454834
96.645,95.169174,97.596,94.32489
102.277,94.05173,109.924,93.88721
84.566,93.78913,97.317,94.0715
96.042,93.96441,103.694,94.388535
84.327,93.92473,90.519,94.74513
85.806,94.388794,100.255,94.58259
81.796,94.24442,84.694,94.378685
102.752,93.843704,100.21,93.96697
74.191,93.690254,82.127,94.00008
90.633,93.84047,96.645,93.8143
80.351,93.879585,102.277,94.27747
102.33,94.18396,84.566,94.18974
74.598,94.057396,96.042,94.62079
112.476,94.00075,84.327,94.75419
94.688,94.14184,85.806,94.60022
114.03,93.73591,81.796,94.54511
106.255,94.75711,102.752,93.17441
88.004,92.55088,74.191,95.06484
95.509,88.42503,90.633,93.52601
107.027,86.315315,80.351,92.547874
82.601,85.49473,102.33,92.33897
100.407,85.71867,74.598,92.0832
100.005,86.312454,112.476,92.12196
101.386,86.71843,94.688,91.02135
80.951,87.363464,114.03,90.91584
84.524,88.52264,106.255,87.242195
63.027,89.74835,88.004,87.685036
104.767,91.15164,95.509,86.65364
108.198,92.23368,107.027,86.463425
105.54,93.60463,82.601,86.79886
111.065,95.84346,100.407,87.22411
109.748,96.24578,100.005,87.07984
96.805,96.84912,101.386,87.90408
92.647,97.15771,80.951,89.04214
101.463,97.131744,84.524,89.645164
104.062,96.53509,63.027,91.21224
108.548,95.740395,104.767,92.85772
90.825,95.46823,108.198,94.04374
93.879,97.04655,105.54,97.35243
98.075,95.441124,111.065,97.092026
84.034,93.21507,109.748,97.72171
93.325,93.52095,96.805,97.97181
74.856,94.10955,92.647,99.04619
95.677,94.34092,101.463,99.29491
97.718,94.36827,104.062,97.61063
96.469,94.63688,108.548,96.33217
94.967,94.73823,90.825,95.47864
96.897,95.36187,93.879,95.59087
98.91,95.37558,98.075,96.032486
97.7,94.910416,84.034,95.03597
89.775,94.65643,93.325,94.91797
94.263,94.657875,74.856,94.52383
76.406,94.99444,95.677,94.41169
100.737,95.02377,97.718,94.0127
108.898,94.95455,96.469,94.45233
95.142,95.56774,94.967,93.82001
100.058,95.00064,96.897,94.12316
100.59,94.7326,98.91,93.6255
100.17,94.691956,97.7,93.68608
95.199,94.86807,89.775,93.948784
92.099,95.03028,94.263,94.180855
106.398,95.04783,76.406,94.340324
101.82,94.91869,100.737,94.27568
97.356,95.019875,108.898,94.547935
101.278,94.99698,95.142,94.679825
86.197,95.0529,100.058,94.46403
79.99,94.44366,100.59,94.6694
89.85,94.17436,100.17,93.8562
94.245,94.58872,95.199,94.657524
98.982,94.989365,92.099,94.61104
94.025,95.03817,106.398,94.46661
108.611,94.87727,101.82,94.32466
94.164,94.787056,97.356,94.02358
99.419,95.28323,101.278,94.11854
94.341,95.43233,86.197,94.413246
75.863,95.60329,79.99,94.696014
96.865,95.82506,89.85,94.96448
86.381,95.280266,94.245,94.312706
90.503,95.639824,98.982,94.25523
85.923,95.50954,94.025,93.691605
80.201,95.15853,108.611,93.913536
76.116,95.16413,94.164,94.078674
78.539,94.89552,99.419,93.93489
88.76,94.449005,94.341,94.75232
93.717,94.07391,75.863,94.451965
84.838,93.46839,96.865,94.94429
87.893,93.23472,86.381,94.94661
97.315,93.31481,90.503,94.85204
83.463,92.66403,85.923,94.60339
90.333,92.41165,80.201,94.6937
95.521,92.55563,76.116,94.52495
86.49,93.43103,78.539,94.42642
89.156,93.534164,88.76,94.02111
84.546,93.69064,93.717,93.63698
89.966,93.28339,84.838,92.4924
72.145,93.14462,87.893,92.33403
90.196,92.662834,97.315,92.33073
108.284,92.50345,83.463,91.76403
102.633,92.60911,90.333,91.94014
91.828,92.87891,95.521,92.58834
92.564,92.54758,86.49,91.81935
77.625,92.80061,89.156,92.267235
92.062,92.64638,84.546,92.72419
90.809,92.84359,89.966,92.54185
92.924,93.10836,72.145,93.053986
99.341,93.20395,90.196,92.77505
84.389,93.362526,108.284,92.84919
76.252,92.76195,102.633,92.59987
96.959,92.79208,91.828,92.74547
82.747,92.117874,92.564,93.62168
119.878,91.716774,77.625,94.281876
73.227,92.287254,92.062,93.683876
53.816,92.421135,90.809,93.76755
81.753,89.83652,92.924,94.45545
90.406,88.05535,99.341,93.17653
96.396,86.773834,84.389,92.69898
72.837,86.435326,76.252,92.561424
92.145,86.23323,96.959,92.57354
105.655,86.63229,82.747,93.14225
95.049,87.218895,119.878,93.163925
70.041,88.593124,73.227,90.67804
79.074,89.33182,53.816,90.23299
74.431,89.95706,81.753,86.73774
121.434,92.2647,90.406,88.08683
99.028,91.71574,96.396,83.640114
87.739,95.022934,72.837,84.82264
109.962,96.48563,92.145,87.31238
88.766,96.825356,105.655,87.648
107.156,96.8636,95.049,88.937775
100.949,97.118385,70.041,89.21066
92.288,97.05551,79.074,89.77217
84.626,95.88783,74.431,90.7974
105.369,96.11006,121.434,93.38769
93.654,96.9249,99.028,94.271866
98.864,96.89255,87.739,94.83568
88.274,95.13963,109.962,97.45264
96.212,94.172485,88.766,97.289345
81.395,93.85223,107.156,97.38827
87.659,93.39703,100.949,97.97896
82.512,92.843506,92.288,96.56945
99.917,92.75212,84.626,97.2587
88.623,93.829765,105.369,96.83038
91.68,94.233345,93.654,95.818245
104.441,94.88315,98.864,95.079315
83.58,95.150505,88.274,94.84639
86.153,95.29028,96.212,95.10782
74.83,94.91017,81.395,94.17522
96.947,95.01516,87.659,93.76074
95.097,95.30862,82.512,93.91866
91.238,95.309784,99.917,94.04749
99.263,95.29126,88.623,93.52887
94.927,94.825096,91.68,93.897446
101.648,94.88565,104.441,94.30934
89.212,94.35599,83.58,94.31455
96.659,94.373856,86.153,94.03978
94.152,94.46929,74.83,94.338875
96.972,93.824524,96.947,93.91481
93.796,93.92187,95.097,93.875336
87.744,94.08405,91.238,94.12731
