IN_ID,OUT_ID,Year,Month,Day,Hour,Speed
2005,2007,2020,5,2,18,1.236450058
2005,2007,2020,5,4,11,71.89937888
2005,2007,2020,5,5,17,1.788493405
2005,2007,2020,5,5,23,63.60329672
2005,2007,2020,5,6,0,70.26282245
2005,2007,2020,5,6,5,96.13793667
2005,2007,2020,5,6,6,85.98454613
2005,2007,2020,5,6,7,73.53674429
2005,2007,2020,5,6,8,69.25570221
2005,2007,2020,5,6,9,70.97097175
2005,2007,2020,5,6,10,67.45449286
2005,2007,2020,5,6,11,66.59144813
2005,2007,2020,5,6,12,65.23984934
2005,2007,2020,5,6,13,69.38951305
2005,2007,2020,5,6,14,62.95239153
2005,2007,2020,5,6,15,53.95755385
2005,2007,2020,5,6,16,56.74635371
2005,2007,2020,5,6,17,81.63320358
2005,2007,2020,5,6,18,87.93335336
2005,2007,2020,5,6,19,85.79704987
2005,2007,2020,5,6,20,91.17840391
2005,2007,2020,5,6,21,89.16573184
2005,2007,2020,5,6,22,83.73092223
2005,2007,2020,5,7,3,65.40000001
2005,2007,2020,5,7,5,90.10114218
2005,2007,2020,5,7,6,80.69769666
2005,2007,2020,5,7,7,79.85011137
2005,2007,2020,5,7,8,79.05260525
2005,2007,2020,5,7,9,78.02622013
2005,2007,2020,5,7,10,81.24218998
2005,2007,2020,5,7,11,79.1969119
2005,2007,2020,5,7,12,73.38212309
2005,2007,2020,5,7,13,73.80357757
2005,2007,2020,5,7,14,75.87590397
2005,2007,2020,5,7,15,71.29152603
2005,2007,2020,5,7,16,72.94580134
2005,2007,2020,5,7,17,84.01763366
2005,2007,2020,5,7,18,79.82047340000001
2005,2007,2020,5,7,19,86.44963764
2005,2007,2020,5,7,20,80.44079692
2005,2007,2020,5,7,21,85.86571233
2005,2007,2020,5,7,22,82.99262381
2005,2007,2020,5,7,23,93.16624062
2005,2007,2020,5,8,2,90.73683517
2005,2007,2020,5,8,3,65.16988038
2005,2007,2020,5,8,5,77.62481142
2005,2007,2020,5,8,6,84.43346965
2005,2007,2020,5,8,7,83.57933487
2005,2007,2020,5,8,8,88.55380018
2005,2007,2020,5,8,9,81.05773819
2005,2007,2020,5,8,10,85.35763041
2005,2007,2020,5,8,11,72.58979007
2005,2007,2020,5,8,12,80.79565600000001
2005,2007,2020,5,8,13,83.02195989
2005,2007,2020,5,8,14,79.53280237
2005,2007,2020,5,8,15,76.22169688
2005,2007,2020,5,8,16,83.33580058
2005,2007,2020,5,8,17,82.4367229
2005,2007,2020,5,8,18,90.52447943
2005,2007,2020,5,8,19,87.1306386
2005,2007,2020,5,8,20,80.64489043
2005,2007,2020,5,8,21,92.65618144
2005,2007,2020,5,8,22,78.68247226
2005,2007,2020,5,9,0,72.81769321
2005,2007,2020,5,9,3,75.59706124
2005,2007,2020,5,9,4,70.05022694
2005,2007,2020,5,9,5,75.23306057
2005,2007,2020,5,9,6,87.91708754
2005,2007,2020,5,9,7,85.84309495
2005,2007,2020,5,9,8,96.11826062
2005,2007,2020,5,9,9,79.49706856
2005,2007,2020,5,9,10,91.29720215
2005,2007,2020,5,9,11,75.73212172
2005,2007,2020,5,9,12,87.89673184
2005,2007,2020,5,9,13,89.15097387
2005,2007,2020,5,9,14,75.14315836
2005,2007,2020,5,9,15,81.37481697
2005,2007,2020,5,9,16,91.10469984
2005,2007,2020,5,9,17,76.45307340000001
2005,2007,2020,5,9,18,79.92697239
2005,2007,2020,5,9,19,87.23772029
2005,2007,2020,5,9,20,81.38714934
2005,2007,2020,5,9,21,88.51910645
2005,2007,2020,5,9,22,87.4113162
2005,2007,2020,5,9,23,101.2091803
2005,2007,2020,5,10,2,39.45119386
2005,2007,2020,5,10,3,90.25964915
2005,2007,2020,5,10,5,84.63966291
2005,2007,2020,5,10,6,75.78503211
2005,2007,2020,5,10,7,74.6825973
2005,2007,2020,5,10,8,86.96923388
2005,2007,2020,5,10,9,71.10050587
2005,2007,2020,5,10,10,74.11811228
2005,2007,2020,5,10,11,86.22781614
2005,2007,2020,5,10,12,76.28937856
2005,2007,2020,5,10,13,83.02163592
2005,2007,2020,5,10,14,84.3579083
2005,2007,2020,5,10,15,79.8218849
2005,2007,2020,5,10,16,82.79298067
2005,2007,2020,5,10,17,82.34965686
2005,2007,2020,5,10,18,83.21355719
2005,2007,2020,5,10,19,87.89685487
2005,2007,2020,5,10,20,84.2992145
2005,2007,2020,5,10,21,86.4881967
2005,2007,2020,5,10,22,81.61882859
2005,2007,2020,5,10,23,70.8467557
2005,2007,2020,5,11,0,97.68607598
2005,2007,2020,5,11,2,90.08404673
2005,2007,2020,5,11,5,69.66888767
2005,2007,2020,5,11,6,81.2873686
2005,2007,2020,5,11,7,82.07706113
2005,2007,2020,5,11,8,81.19846012
2005,2007,2020,5,11,9,81.77084214
2005,2007,2020,5,11,10,83.86003974
2005,2007,2020,5,11,11,81.10762406
2005,2007,2020,5,11,12,67.02650973
2005,2007,2020,5,11,13,83.24095111
2005,2007,2020,5,11,14,81.59776679
2005,2007,2020,5,11,15,76.06000455
2005,2007,2020,5,11,16,85.86109106
2005,2007,2020,5,11,17,85.52645694
2005,2007,2020,5,11,18,90.24351574
2005,2007,2020,5,11,19,89.5740945
2005,2007,2020,5,11,20,78.76926414
2005,2007,2020,5,11,21,92.15982884
2005,2007,2020,5,11,22,94.7788759
2005,2007,2020,5,11,23,89.63994054
2005,2007,2020,5,12,0,92.97831323
2005,2007,2020,5,12,1,74.62240127
2005,2007,2020,5,12,2,85.35152071
2005,2007,2020,5,12,4,95.8658385
2005,2007,2020,5,12,5,48.86968165
2005,2007,2020,5,12,6,80.21889868
2005,2007,2020,5,12,7,89.09242482
2005,2007,2020,5,12,8,83.94700818
2005,2007,2020,5,12,9,81.91558674
2005,2007,2020,5,12,10,81.48576741
2005,2007,2020,5,12,11,80.62744417
2005,2007,2020,5,12,12,81.66525633
2005,2007,2020,5,12,13,76.11347211
2005,2007,2020,5,12,14,85.36668827
2005,2007,2020,5,12,15,75.44085176
2005,2007,2020,5,12,16,77.68862778
2005,2007,2020,5,12,17,84.43886204
2005,2007,2020,5,12,18,85.9091031
2005,2007,2020,5,12,19,86.53504116
2005,2007,2020,5,12,20,87.08118731
2005,2007,2020,5,12,21,70.64510818
2005,2007,2020,5,12,22,84.25587399
2005,2007,2020,5,12,23,85.42857743
2005,2007,2020,5,13,0,65.10989175
2005,2007,2020,5,13,1,86.79137771
2005,2007,2020,5,13,2,4.9661761
2005,2007,2020,5,13,5,63.16136688
2005,2007,2020,5,13,6,82.93586842
2005,2007,2020,5,13,7,87.39627946
2005,2007,2020,5,13,8,87.07261861
2005,2007,2020,5,13,9,85.38825924
2005,2007,2020,5,13,10,85.67651198
2005,2007,2020,5,13,11,82.61842338
2005,2007,2020,5,13,12,78.01444497
2005,2007,2020,5,13,13,84.30401658
2005,2007,2020,5,13,14,85.34800795
2005,2007,2020,5,13,15,87.8645126
2005,2007,2020,5,13,16,84.66418844
2005,2007,2020,5,13,17,86.35999663
2005,2007,2020,5,13,18,84.36583444
2005,2007,2020,5,13,19,77.76853949
2005,2007,2020,5,13,20,76.82040832
2005,2007,2020,5,13,21,87.7310532
2005,2007,2020,5,13,22,88.01852049
2005,2007,2020,5,13,23,90.78976947
2005,2007,2020,5,14,4,65.95897436
2005,2007,2020,5,14,5,72.65735841
2005,2007,2020,5,14,6,84.68781459
2005,2007,2020,5,14,7,85.57258899
2005,2007,2020,5,14,8,87.87957591
2005,2007,2020,5,14,9,80.51566951
2005,2007,2020,5,14,10,83.34948403
2005,2007,2020,5,14,11,76.95548598
2005,2007,2020,5,14,12,78.60341719
2005,2007,2020,5,14,13,80.51418725
2005,2007,2020,5,14,14,81.00540191
2005,2007,2020,5,14,15,80.42326402
2005,2007,2020,5,14,16,80.95927206
2005,2007,2020,5,14,17,82.72300197
2005,2007,2020,5,14,18,84.12986267
2005,2007,2020,5,14,19,86.12996568
2005,2007,2020,5,14,20,81.97695792
2005,2007,2020,5,14,21,79.03140563
2005,2007,2020,5,14,22,88.30928805
2005,2007,2020,5,14,23,61.5309804
2005,2007,2020,5,15,1,86.69508415
2005,2007,2020,5,15,4,36.99701926
2005,2007,2020,5,15,5,75.8303082
2005,2007,2020,5,15,6,72.38518576
2005,2007,2020,5,15,7,86.47890899
2005,2007,2020,5,15,8,86.4785955
2005,2007,2020,5,15,9,83.35411882
2005,2007,2020,5,15,10,78.44492761
2005,2007,2020,5,15,11,79.03719714
2005,2007,2020,5,15,12,75.71052647
2005,2007,2020,5,15,13,79.45386713
2005,2007,2020,5,15,14,80.13246968
2005,2007,2020,5,15,15,76.71202361
2005,2007,2020,5,15,17,85.3227744
2005,2007,2020,5,15,20,86.63413276
2005,2007,2020,5,15,21,79.76348567
2005,2007,2020,5,15,22,80.22134
2005,2007,2020,5,15,23,78.48000001
2005,2007,2020,5,16,0,96.26444908
2005,2007,2020,5,16,5,81.30553594
