qidian,zhongdian,tian,xiaoshi,avg_sudu,cheliuliang
101001,78001D,2021/6/19,8,92.944,225
101001,78001D,2021/6/19,9,81.255,244
101001,78001D,2021/6/19,10,79.159,246
101001,78001D,2021/6/19,11,77.162,170
101001,78001D,2021/6/19,12,81.427,177
101001,78001D,2021/6/19,13,78.805,222
101001,78001D,2021/6/19,14,80.3,209
101001,78001D,2021/6/19,15,79.099,185
101001,78001D,2021/6/19,16,80.022,198
101001,78001D,2021/6/19,17,91.887,211
101001,78001D,2021/6/19,18,91.714,219
101001,78001D,2021/6/19,19,94.598,195
101001,78001D,2021/6/19,20,91.812,128
101001,78001D,2021/6/19,21,91.35,80
101001,78001D,2021/6/19,22,86.653,55
101001,78001D,2021/6/19,23,103.144,31
101001,78001D,2021/6/20,0,87.186,22
101001,78001D,2021/6/20,1,89.009,11
101001,78001D,2021/6/20,2,95.449,10
101001,78001D,2021/6/20,3,87.703,10
101001,78001D,2021/6/20,4,98.774,11
101001,78001D,2021/6/20,5,88.702,36
101001,78001D,2021/6/20,6,91.169,99
101001,78001D,2021/6/20,7,86.044,159
101001,78001D,2021/6/20,8,87.025,212
101001,78001D,2021/6/20,9,83.762,210
101001,78001D,2021/6/20,10,83.333,210
101001,78001D,2021/6/20,11,82.934,195
101001,78001D,2021/6/20,12,81.961,168
101001,78001D,2021/6/20,13,81.912,188
101001,78001D,2021/6/20,14,85.016,200
101001,78001D,2021/6/20,15,84.735,223
101001,78001D,2021/6/20,16,88.658,234
101001,78001D,2021/6/20,17,81.465,240
101001,78001D,2021/6/20,18,83.273,203
101001,78001D,2021/6/20,19,81.838,166
101001,78001D,2021/6/20,20,91.021,115
101001,78001D,2021/6/20,21,87.447,79
101001,78001D,2021/6/20,22,95.058,37
101001,78001D,2021/6/20,23,95.161,33
101001,78001D,2021/6/21,0,90.235,20
101001,78001D,2021/6/21,1,86.417,8
101001,78001D,2021/6/21,2,96.543,5
101001,78001D,2021/6/21,3,94.398,9
101001,78001D,2021/6/21,4,85.435,10
101001,78001D,2021/6/21,5,87.297,41
101001,78001D,2021/6/21,6,91.978,120
101001,78001D,2021/6/21,7,93.048,238
101001,78001D,2021/6/21,8,95.674,299
101001,78001D,2021/6/21,9,84.283,259
101001,78001D,2021/6/21,10,79.215,245
101001,78001D,2021/6/21,11,83.334,172
101001,78001D,2021/6/21,12,79.199,147
101001,78001D,2021/6/21,13,76.639,191
101001,78001D,2021/6/21,14,80.721,182
101001,78001D,2021/6/21,15,81.552,180
101001,78001D,2021/6/21,16,86.233,160
101001,78001D,2021/6/21,17,80.965,190
101001,78001D,2021/6/21,18,82.574,199
101001,78001D,2021/6/21,19,84.716,168
101001,78001D,2021/6/21,20,86.82,123
101001,78001D,2021/6/21,21,83.024,81
101001,78001D,2021/6/21,22,89.261,56
101001,78001D,2021/6/21,23,92.447,33
101001,78001D,2021/6/22,0,83.478,26
101001,78001D,2021/6/22,1,95.513,9
101001,78001D,2021/6/22,2,79.295,12
101001,78001D,2021/6/22,3,67.289,9
101001,78001D,2021/6/22,4,80.31,16
101001,78001D,2021/6/22,5,87.133,34
101001,78001D,2021/6/22,6,93.472,114
101001,78001D,2021/6/22,7,92.629,215
101001,78001D,2021/6/22,8,88.357,261
101001,78001D,2021/6/22,9,84.517,255
101001,78001D,2021/6/22,10,82.384,199
101001,78001D,2021/6/22,11,80.744,193
101001,78001D,2021/6/22,12,79.84,187
101001,78001D,2021/6/22,13,77.515,215
101001,78001D,2021/6/22,14,78.913,199
101001,78001D,2021/6/22,15,82.721,190
101001,78001D,2021/6/22,16,88.013,179
101001,78001D,2021/6/22,17,80.576,155
101001,78001D,2021/6/22,18,85.969,211
101001,78001D,2021/6/22,19,81.155,169
101001,78001D,2021/6/22,20,88.878,114
101001,78001D,2021/6/22,21,91.485,77
101001,78001D,2021/6/22,22,91.99,68
101001,78001D,2021/6/22,23,91.833,45
101001,78001D,2021/6/23,0,97.518,29
101001,78001D,2021/6/23,1,81.593,11
101001,78001D,2021/6/23,2,89.853,11
101001,78001D,2021/6/23,3,77.878,9
101001,78001D,2021/6/23,4,82.106,11
101001,78001D,2021/6/23,5,84.87,40
101001,78001D,2021/6/23,6,91.123,108
101001,78001D,2021/6/23,7,88.083,207
101001,78001D,2021/6/23,8,84.258,276
101001,78001D,2021/6/23,9,82.234,288
101001,78001D,2021/6/23,10,80.671,177
101001,78001D,2021/6/23,11,77.867,183
101001,78001D,2021/6/23,12,77.827,162
101001,78001D,2021/6/23,13,78.421,209
101001,78001D,2021/6/23,14,79.919,195
101001,78001D,2021/6/23,15,86.332,190
101001,78001D,2021/6/23,16,84.44,195
101001,78001D,2021/6/23,17,79.567,179
101001,78001D,2021/6/23,18,87.356,208
101001,78001D,2021/6/23,19,83.069,173
101001,78001D,2021/6/23,20,86.956,94
101001,78001D,2021/6/23,21,91.385,76
101001,78001D,2021/6/23,22,91.203,70
101001,78001D,2021/6/23,23,92.829,40
101001,78001D,2021/6/24,0,88.689,23
101001,78001D,2021/6/24,1,100.591,12
101001,78001D,2021/6/24,2,87.317,15
101001,78001D,2021/6/24,3,96.26,6
101001,78001D,2021/6/24,4,77.126,11
101001,78001D,2021/6/24,5,84.694,45
101001,78001D,2021/6/24,6,89.004,103
101001,78001D,2021/6/24,7,92.641,190
101001,78001D,2021/6/24,8,92.893,285
101001,78001D,2021/6/24,9,86.462,258
101001,78001D,2021/6/24,10,86.918,186
101001,78001D,2021/6/24,11,85.391,202
101001,78001D,2021/6/24,12,85.361,173
101001,78001D,2021/6/24,13,84.219,210
