qidian,zhongdian,tian,xiaoshi,avg_sudu,cheliuliang
78000F,2002,2021/6/6,5,105.226,7
78000F,2002,2021/6/6,6,102.243,28
78000F,2002,2021/6/6,7,102.242,59
78000F,2002,2021/6/6,8,101.593,78
78000F,2002,2021/6/6,9,104.058,85
78000F,2002,2021/6/6,10,99.399,93
78000F,2002,2021/6/6,11,99.661,99
78000F,2002,2021/6/6,12,104.489,58
78000F,2002,2021/6/6,13,102.645,97
78000F,2002,2021/6/6,14,100.217,100
78000F,2002,2021/6/6,15,101.198,100
78000F,2002,2021/6/6,16,101.134,122
78000F,2002,2021/6/6,17,99.892,134
78000F,2002,2021/6/6,18,100.811,117
78000F,2002,2021/6/6,19,102.339,92
78000F,2002,2021/6/6,20,99.293,63
78000F,2002,2021/6/6,21,96.992,54
78000F,2002,2021/6/6,22,100.512,16
78000F,2002,2021/6/6,23,98.756,11
78000F,2002,2021/6/7,0,89.209,11
78000F,2002,2021/6/7,1,94.977,10
78000F,2002,2021/6/7,2,90.997,7
78000F,2002,2021/6/7,3,104.241,1
78000F,2002,2021/6/7,4,105.039,2
78000F,2002,2021/6/7,5,101.202,6
78000F,2002,2021/6/7,6,103.86,35
78000F,2002,2021/6/7,7,101.764,76
78000F,2002,2021/6/7,8,101.928,59
78000F,2002,2021/6/7,9,98.965,61
78000F,2002,2021/6/7,10,100.454,83
78000F,2002,2021/6/7,11,105.061,48
78000F,2002,2021/6/7,12,99.879,70
78000F,2002,2021/6/7,13,101.732,69
78000F,2002,2021/6/7,14,102.839,70
78000F,2002,2021/6/7,15,103.131,87
78000F,2002,2021/6/7,16,98.536,88
78000F,2002,2021/6/7,17,101.232,90
78000F,2002,2021/6/7,18,101.53,118
78000F,2002,2021/6/7,19,100.784,71
78000F,2002,2021/6/7,20,93.642,61
78000F,2002,2021/6/7,21,95.021,45
78000F,2002,2021/6/7,22,103.477,23
78000F,2002,2021/6/7,23,94.37,9
78000F,2002,2021/6/8,0,85.339,11
78000F,2002,2021/6/8,1,88.437,3
78000F,2002,2021/6/8,2,96.208,3
78000F,2002,2021/6/8,3,109.521,2
78000F,2002,2021/6/8,4,74.663,1
78000F,2002,2021/6/8,5,96.413,3
78000F,2002,2021/6/8,6,104.222,15
78000F,2002,2021/6/8,7,101.23,45
78000F,2002,2021/6/8,8,101.93,54
78000F,2002,2021/6/8,9,104.555,66
78000F,2002,2021/6/8,10,100.147,65
78000F,2002,2021/6/8,11,99.318,64
78000F,2002,2021/6/8,12,98.793,69
78000F,2002,2021/6/8,13,99.623,76
78000F,2002,2021/6/8,14,100.252,68
78000F,2002,2021/6/8,15,97.13,80
78000F,2002,2021/6/8,16,103.5,71
78000F,2002,2021/6/8,17,95.853,105
78000F,2002,2021/6/8,18,101.658,116
78000F,2002,2021/6/8,19,102.813,100
78000F,2002,2021/6/8,20,99.486,49
78000F,2002,2021/6/8,21,96.029,48
78000F,2002,2021/6/8,22,102.753,39
78000F,2002,2021/6/8,23,100.411,15
78000F,2002,2021/6/9,0,94.108,13
78000F,2002,2021/6/9,1,92.12,3
78000F,2002,2021/6/9,2,88.951,4
78000F,2002,2021/6/9,3,99.505,2
78000F,2002,2021/6/9,4,92.336,3
78000F,2002,2021/6/9,5,102.054,3
78000F,2002,2021/6/9,6,105.655,26
78000F,2002,2021/6/9,7,102.777,41
78000F,2002,2021/6/9,8,104.818,86
78000F,2002,2021/6/9,9,103.074,65
78000F,2002,2021/6/9,10,100.524,69
78000F,2002,2021/6/9,11,99.301,58
78000F,2002,2021/6/9,12,101.286,72
78000F,2002,2021/6/9,13,101.336,91
78000F,2002,2021/6/9,14,99.284,75
78000F,2002,2021/6/9,15,99.635,74
78000F,2002,2021/6/9,16,100.743,102
78000F,2002,2021/6/9,17,98.715,95
78000F,2002,2021/6/9,18,99.944,126
78000F,2002,2021/6/9,19,102.421,83
78000F,2002,2021/6/9,20,97.563,60
78000F,2002,2021/6/9,21,94.935,35
78000F,2002,2021/6/9,22,100.181,27
78000F,2002,2021/6/9,23,101.485,13
78000F,2002,2021/6/10,0,92.069,13
78000F,2002,2021/6/10,1,89.053,11
78000F,2002,2021/6/10,2,90.552,6
78000F,2002,2021/6/10,3,73.5,2
78000F,2002,2021/6/10,4,85.197,7
78000F,2002,2021/6/10,5,117.282,5
78000F,2002,2021/6/10,6,97.778,24
78000F,2002,2021/6/10,7,103.1,61
78000F,2002,2021/6/10,8,100.02,56
78000F,2002,2021/6/10,9,99.94,56
78000F,2002,2021/6/10,10,104.339,55
78000F,2002,2021/6/10,11,100.895,66
78000F,2002,2021/6/10,12,97.504,57
78000F,2002,2021/6/10,13,100.139,55
78000F,2002,2021/6/10,14,100.777,60
78000F,2002,2021/6/10,15,98.631,84
78000F,2002,2021/6/10,16,98.883,91
78000F,2002,2021/6/10,17,101.091,103
78000F,2002,2021/6/10,18,100.728,113
78000F,2002,2021/6/10,19,99.458,87
78000F,2002,2021/6/10,20,99.6,46
78000F,2002,2021/6/10,21,96.015,36
78000F,2002,2021/6/10,22,100.485,24
78000F,2002,2021/6/10,23,97.779,17
78000F,2002,2021/6/11,0,86.326,15
78000F,2002,2021/6/11,1,88.921,7
78000F,2002,2021/6/11,2,100.462,7
78000F,2002,2021/6/11,3,85.465,3
78000F,2002,2021/6/11,5,87.614,6
78000F,2002,2021/6/11,6,101.72,17
78000F,2002,2021/6/11,7,101.325,40
78000F,2002,2021/6/11,8,101.633,60
78000F,2002,2021/6/11,9,106.254,85
78000F,2002,2021/6/11,10,101.446,76
78000F,2002,2021/6/11,11,101.342,69
78000F,2002,2021/6/11,12,97.53,91
78000F,2002,2021/6/11,13,98.874,94
78000F,2002,2021/6/11,14,96.662,85
78000F,2002,2021/6/11,15,99.922,110
78000F,2002,2021/6/11,16,99.922,126
78000F,2002,2021/6/11,17,103.709,149
78000F,2002,2021/6/11,18,104.264,229
78000F,2002,2021/6/11,19,103.052,182
78000F,2002,2021/6/11,20,100.794,101
78000F,2002,2021/6/11,21,100.568,58
78000F,2002,2021/6/11,22,96.119,28
78000F,2002,2021/6/11,23,101.374,25
78000F,2002,2021/6/12,0,99.007,16
78000F,2002,2021/6/12,1,96.241,9
78000F,2002,2021/6/12,2,93.549,4
78000F,2002,2021/6/12,3,92.304,8
78000F,2002,2021/6/12,4,95.582,7
78000F,2002,2021/6/12,5,94.933,8
78000F,2002,2021/6/12,6,100.725,19
78000F,2002,2021/6/12,7,98.622,46
78000F,2002,2021/6/12,8,102.641,74
78000F,2002,2021/6/12,9,101.665,133
78000F,2002,2021/6/12,10,99.655,144
78000F,2002,2021/6/12,11,97.377,130
78000F,2002,2021/6/12,12,102.078,103
78000F,2002,2021/6/12,13,96.547,110
78000F,2002,2021/6/12,14,101.236,134
78000F,2002,2021/6/12,15,97.507,123
78000F,2002,2021/6/12,16,100.19,110
78000F,2002,2021/6/12,17,101.014,126
78000F,2002,2021/6/12,18,100.705,136
78000F,2002,2021/6/12,19,97.173,143
78000F,2002,2021/6/12,20,99.698,81
78000F,2002,2021/6/12,21,95.417,49
78000F,2002,2021/6/12,22,96.929,30
78000F,2002,2021/6/12,23,94.797,16
78000F,2002,2021/6/13,0,96.247,11
78000F,2002,2021/6/13,1,109.4,7
78000F,2002,2021/6/13,2,81.662,5
78000F,2002,2021/6/13,3,109.521,2
78000F,2002,2021/6/13,4,88.395,2
78000F,2002,2021/6/13,5,109.673,4
78000F,2002,2021/6/13,6,102.167,30
78000F,2002,2021/6/13,7,100.924,58
78000F,2002,2021/6/13,8,103.295,104
78000F,2002,2021/6/13,9,99.803,126
78000F,2002,2021/6/13,10,102.593,151
78000F,2002,2021/6/13,11,96.062,129
78000F,2002,2021/6/13,12,99.056,80
78000F,2002,2021/6/13,13,98.674,114
78000F,2002,2021/6/13,14,100.753,88
78000F,2002,2021/6/13,15,97.903,144
78000F,2002,2021/6/13,16,98.022,125
78000F,2002,2021/6/13,17,95.754,159
78000F,2002,2021/6/13,18,96.886,166
78000F,2002,2021/6/13,19,99.01,139
78000F,2002,2021/6/13,20,96.793,65
78000F,2002,2021/6/13,21,96.447,46
78000F,2002,2021/6/13,22,100.468,31
78000F,2002,2021/6/13,23,95.453,18
78000F,2002,2021/6/14,0,97.358,10
78000F,2002,2021/6/14,1,97.861,5
78000F,2002,2021/6/14,2,90.13,2
78000F,2002,2021/6/14,3,81.694,5
78000F,2002,2021/6/14,4,82.294,3
78000F,2002,2021/6/14,5,100.672,9
78000F,2002,2021/6/14,6,96.305,16
78000F,2002,2021/6/14,7,92.816,50
78000F,2002,2021/6/14,8,92.853,56
78000F,2002,2021/6/14,9,98.852,77
78000F,2002,2021/6/14,10,100.042,129
78000F,2002,2021/6/14,11,98.376,112
78000F,2002,2021/6/14,12,100.93,102
78000F,2002,2021/6/14,13,100.256,108
78000F,2002,2021/6/14,14,99.993,141
78000F,2002,2021/6/14,15,99.807,155
78000F,2002,2021/6/14,16,98.669,177
78000F,2002,2021/6/14,17,100.204,169
78000F,2002,2021/6/14,18,102.165,169
78000F,2002,2021/6/14,19,97.644,145
78000F,2002,2021/6/14,20,101.263,96
78000F,2002,2021/6/14,21,99.109,71
78000F,2002,2021/6/14,22,94.333,18
78000F,2002,2021/6/14,23,99.734,22
78000F,2002,2021/6/15,0,100.64,8
78000F,2002,2021/6/15,1,91.759,5
78000F,2002,2021/6/15,2,89.197,6
78000F,2002,2021/6/15,3,97.878,5
78000F,2002,2021/6/15,4,103.106,3
78000F,2002,2021/6/15,5,106.414,11
78000F,2002,2021/6/15,6,104.465,41
78000F,2002,2021/6/15,7,106.144,81
78000F,2002,2021/6/15,8,100.3,80
78000F,2002,2021/6/15,9,99.368,69
78000F,2002,2021/6/15,10,100.524,80
78000F,2002,2021/6/15,11,97.624,64
78000F,2002,2021/6/15,12,100.719,64
78000F,2002,2021/6/15,13,100.535,66
78000F,2002,2021/6/15,14,96.673,62
78000F,2002,2021/6/15,15,96.66,69
78000F,2002,2021/6/15,16,98.794,94
78000F,2002,2021/6/15,17,95.214,89
78000F,2002,2021/6/15,18,98.792,109
78000F,2002,2021/6/15,19,99.737,77
78000F,2002,2021/6/15,20,94.072,49
78000F,2002,2021/6/15,21,93.837,37
78000F,2002,2021/6/15,22,93.35,24
78000F,2002,2021/6/15,23,81.825,14
78000F,2002,2021/6/16,0,87.918,10
78000F,2002,2021/6/16,1,88.949,10
78000F,2002,2021/6/16,2,93.876,7
78000F,2002,2021/6/16,3,98.245,3
78000F,2002,2021/6/16,4,96.163,4
78000F,2002,2021/6/16,5,107.09,10
78000F,2002,2021/6/16,6,106.519,37
78000F,2002,2021/6/16,7,104.731,52
78000F,2002,2021/6/16,8,100.63,54
78000F,2002,2021/6/16,9,100.384,70
78000F,2002,2021/6/16,10,101.608,53
78000F,2002,2021/6/16,11,96.685,51
78000F,2002,2021/6/16,12,97.191,80
78000F,2002,2021/6/16,13,98.457,73
78000F,2002,2021/6/16,14,97.913,90
78000F,2002,2021/6/16,15,96.426,59
78000F,2002,2021/6/16,16,99.167,108
78000F,2002,2021/6/16,17,97.795,119
78000F,2002,2021/6/16,18,103.313,126
78000F,2002,2021/6/16,19,96.801,68
78000F,2002,2021/6/16,20,96.767,51
78000F,2002,2021/6/16,21,94.657,36
78000F,2002,2021/6/16,22,99.918,23
78000F,2002,2021/6/16,23,91.981,11
78000F,2002,2021/6/17,0,81.642,12
78000F,2002,2021/6/17,1,89.414,8
78000F,2002,2021/6/17,2,100.103,4
78000F,2002,2021/6/17,3,109.641,1
78000F,2002,2021/6/17,4,114.813,1
78000F,2002,2021/6/17,5,101.249,8
78000F,2002,2021/6/17,6,100.818,25
78000F,2002,2021/6/17,7,101.455,41
78000F,2002,2021/6/17,8,97.669,61
78000F,2002,2021/6/17,9,97.315,77
78000F,2002,2021/6/17,10,101.864,64
78000F,2002,2021/6/17,11,92.94,68
