出口站点,日期,小时,分钟,车流量
2002,2021/5/9,10,20,1
2002,2021/5/9,10,35,1
2002,2021/5/9,10,50,3
2002,2021/5/9,11,40,1
2002,2021/5/9,11,55,1
2002,2021/5/9,12,15,1
2002,2021/5/9,12,20,2
2002,2021/5/9,12,35,1
2002,2021/5/9,13,5,2
2002,2021/5/9,13,30,3
2002,2021/5/9,13,35,1
2002,2021/5/9,14,0,1
2002,2021/5/9,14,40,1
2002,2021/5/9,14,55,1
2002,2021/5/9,15,10,1
2002,2021/5/9,15,25,1
2002,2021/5/9,15,55,2
2002,2021/5/9,16,25,1
2002,2021/5/9,16,30,1
2002,2021/5/9,16,55,1
2002,2021/5/9,18,0,1
2002,2021/5/9,18,5,1
2002,2021/5/9,18,35,1
2002,2021/5/9,18,55,2
2002,2021/5/9,19,50,3
2002,2021/5/9,20,35,1
2002,2021/5/9,21,30,1
2002,2021/5/9,22,5,1
2002,2021/5/9,23,30,1
2002,2021/5/10,6,5,1
2002,2021/5/10,6,30,1
2002,2021/5/10,7,20,1
2002,2021/5/10,7,25,1
2002,2021/5/10,7,30,1
2002,2021/5/10,7,40,2
2002,2021/5/10,7,45,4
2002,2021/5/10,8,0,1
2002,2021/5/10,8,5,2
2002,2021/5/10,8,20,1
2002,2021/5/10,8,30,2
2002,2021/5/10,8,40,2
2002,2021/5/10,8,55,1
2002,2021/5/10,9,0,1
2002,2021/5/10,9,10,1
2002,2021/5/10,9,30,1
2002,2021/5/10,9,35,1
2002,2021/5/10,9,45,1
2002,2021/5/10,10,0,1
2002,2021/5/10,10,20,1
2002,2021/5/10,10,25,1
2002,2021/5/10,10,35,1
2002,2021/5/10,11,0,1
2002,2021/5/10,11,5,2
2002,2021/5/10,11,15,1
2002,2021/5/10,11,50,1
2002,2021/5/10,12,15,1
2002,2021/5/10,12,40,1
2002,2021/5/10,12,45,1
2002,2021/5/10,12,50,1
2002,2021/5/10,12,55,2
2002,2021/5/10,13,15,2
2002,2021/5/10,13,40,1
2002,2021/5/10,13,50,1
2002,2021/5/10,13,55,1
2002,2021/5/10,14,0,1
2002,2021/5/10,14,5,2
2002,2021/5/10,14,25,1
2002,2021/5/10,15,10,1
2002,2021/5/10,15,30,1
2002,2021/5/10,15,35,1
